کد IRC,کلمه جستجو,تعداد نتایج,کد پیام کاندیدا,نام فارسی کاندیدا,نام انگلیسی کاندیدا,کد ژنریک کاندیدا,IRC کاندیدا,قیمت کاندیدا (ریال),تاریخ قیمت (میلادی)
1584733301613034,بلومز,1,0300005554,امگا - 3 روغن طبیعی ماهی  1000 میلی گرم 100 عدد کپسول بلومز هلث,OMEGA-3 NATURAL FISH OIL  1000 MG 100 Capsule Blooms Health,02101,05554,,
4998935944738118,SUPER,70,0000051720,سوپر پارامگنتیک دکستران نانوپارتیکلز  10 میلی لیتر سوسپانسیون تزریقی,SUPERPARAMAGNETIC DEXTRAN NANOPARTICLES  10 ML Injectable Suspension,,,,
4998935944738118,SUPER,70,0200001684,سوپرمینت  15 میلی لیتر قطره خوراکى باریج اسانس,SUPERMINT  15 ML Oral Drop Barij Essence,02100,01684,900000,2026-07-14T18:12:28+03:30
4998935944738118,SUPER,70,0301009284,سوپر کلاژن بیلدر  250 میلی لیتر محلول خوراکی اکسیر طب پرنیان,SUPER COLLAGEN BUILDER  250 ML Oral Solution Xir Teb Parnian,02101,,7996000,2025-08-03T09:58:27+03:30
4998935944738118,SUPER,70,0301008742,سوپر ایمیون سی  5 عدد ساشه آلفا ویتامینز,SUPER IMMUNE C  5 Sache Alfa Vitamins,02101,,739200,2026-05-28T15:24:07+03:30
4998935944738118,SUPER,70,0300023581,چای سبز و سرکه سیب   سافت ژل سوپر نچرال,GREEN TEA IN APPLE CIDER VINGER   Soft Gelatin Capsule Super Natural,02101,23581,6867,2018-10-17T17:20:31+03:30
4998935944738118,SUPER,70,0300016965,سوپرمینت  20 میلی گرم 30 عدد سافت ژل باریج اسانس,SUPERMINT  20 MG 30 Soft Gelatin Capsule Barij Essence,02101,16965,68000,2026-08-24T12:01:18+03:30
4998935944738118,SUPER,70,0301005806,سوپر ایمیون سی  300 گرم پودر آلفا ویتامینز,SUPER IMMUNE C  300 GR Powder Alfa Vitamins,02101,,6570000,2024-04-21T12:23:20+03:30
4998935944738118,SUPER,70,0301009285,منز سوپر مولتی  30 عدد قرص اکسیر طب پرنیان,MENS SUPER MULTI  30 Tablet Xir Teb Parnian,02101,,596500,2025-10-18T11:18:34+03:30
4998935944738118,SUPER,70,0301009286,وومنز سوپر مولتی  30 عدد قرص اکسیر طب پرنیان,WOMENS SUPER MULTI  30 Tablet Xir Teb Parnian,02101,,596500,2025-10-18T11:19:08+03:30
4998935944738118,SUPER,70,0301005479,سوپر منیزیم  30 عدد قرص اکسیر طب پرنیان,SUPER MAGNESIUM  30 Tablet Xir Teb Parnian,02101,,307000,2025-06-26T11:41:57+03:30
5523138119458846,اکوفان,3,0300006115,اکوفان  60 عدد قرص بایول,ECOPHANE  60 Tablet Bailleul,02101,06115,30333,2024-05-08T12:15:48+03:30
5523138119458846,اکوفان,3,0300006190,اکوفان  318 گرم پودر بایوکل,ECOPHANE  318 GR Powder Biocol,02101,06190,,
5523138119458846,اکوفان,3,0300006191,اکوفان   ساشه بایوکل,ECOPHANE   Sache Biocol,02101,06191,,
9859968483979470,فرزوبین,3,0300006801,فرزوبین - اچ پی - انرژی   شربت فرزنیوس کابی,FRESUBIN-HP-ENERGY   Syrup Fresenius Kabi,02101,06801,,
9859968483979470,فرزوبین,3,0300006824,فرزوبین پروتئین انرژی درینک   شربت فرزنیوس کابی,FRESUBIN PROTEIN ENERGY DRINK   Syrup Fresenius Kabi,02101,06824,,
9859968483979470,فرزوبین,3,0300006800,فرزوبین - اوریجینال  500 میلی لیتر شربت فرزنیوس کابی,FRESUBIN-ORIGINAL  500 ML Syrup Fresenius Kabi,02101,06800,,
9426665638809846,گلوکوزامین,8,0301006662,ام پلاس گلوکوزآمین  60 عدد قرص پرارین پارس,M+ GLUCOSAMINE  60 Tablet Perarin Pars,02101,,141166,2026-09-19T09:32:25+03:30
9426665638809846,گلوکوزامین,8,0300006109,گلوکوزامين کندروئتین سی ام پی ایکس   کپسول نیچرز بونتی,GLUCOSAMINE CHONDROITIN CMPX   Capsule Natures Bounty,02101,06109,,
9426665638809846,گلوکوزامین,8,0300022874,گلوکوزامین سولفات میلا تک  200 گرم پودر,GLUCOSAMINE SULFATE MILATECH  200 GR Powder,02101,22874,,
9426665638809846,گلوکوزامین,8,0300022875,گلوکوزامین سولفات میلا تک  100 گرم پودر,GLUCOSAMINE SULFATE MILATECH  100 GR Powder,02101,22875,,
9426665638809846,گلوکوزامین,8,0300024542,گلوکوزامین پلاس کندروئتین   کپسول الیت,GLUCOSAMINE PLUS CHONDROITIN   Capsule Elite,02101,24542,,
9426665638809846,گلوکوزامین,8,0300023370,جوینت مکس پاور گلوکوزامین  60 عدد قرص ویتامین هاوس,JOINT MAX POWER GLUCOSAMINE  60 Tablet Vitamin House,02101,23370,,
9426665638809846,گلوکوزامین,8,0300025399,گلوکوزامین و کندرویتین   قرص امید پارسینا دماوند,GLUCOSAMINE & CHONDROITINE   Tablet OPD Pharma,02101,25399,,
9426665638809846,گلوکوزامین,8,0300025582,گلوکوزامین + هیالورونیک اسید   قرص امید پارسینا دماوند,GLUCOSAMINE+HYALURONIC ACID   Tablet OPD Pharma,02101,25582,,
2881662360232619,مالتودکس,2,0300017944,مالتودکسترین   پودر آرشام دارو آريا,MALTODEXTRIN   Powder Arsham Darou Aria,02101,17944,,
2881662360232619,مالتودکس,2,0300006942,مالتودکس  900 گرم پودر,MALTODEX  900 GR Powder,02101,06942,,
7884338255202208,اینترکتیوماموت,0,,,,,,,
9689419379887139,گلوکوزامین,8,0301006662,ام پلاس گلوکوزآمین  60 عدد قرص پرارین پارس,M+ GLUCOSAMINE  60 Tablet Perarin Pars,02101,,141166,2026-09-19T09:32:25+03:30
9689419379887139,گلوکوزامین,8,0300006109,گلوکوزامين کندروئتین سی ام پی ایکس   کپسول نیچرز بونتی,GLUCOSAMINE CHONDROITIN CMPX   Capsule Natures Bounty,02101,06109,,
9689419379887139,گلوکوزامین,8,0300022874,گلوکوزامین سولفات میلا تک  200 گرم پودر,GLUCOSAMINE SULFATE MILATECH  200 GR Powder,02101,22874,,
9689419379887139,گلوکوزامین,8,0300022875,گلوکوزامین سولفات میلا تک  100 گرم پودر,GLUCOSAMINE SULFATE MILATECH  100 GR Powder,02101,22875,,
9689419379887139,گلوکوزامین,8,0300024542,گلوکوزامین پلاس کندروئتین   کپسول الیت,GLUCOSAMINE PLUS CHONDROITIN   Capsule Elite,02101,24542,,
9689419379887139,گلوکوزامین,8,0300023370,جوینت مکس پاور گلوکوزامین  60 عدد قرص ویتامین هاوس,JOINT MAX POWER GLUCOSAMINE  60 Tablet Vitamin House,02101,23370,,
